                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.97022,                 1.4376,                 1.2626,                0.55662,                0.36511,                0.37894,                0.28379,                 1.0645,                 1.8405,                 1.3408,               0.005644,               0.005644,               0.005644
                     46,                0.96873,                 1.4167,                 1.2535,                0.52619,                0.37558,                0.39796,                0.30878,                  1.032,                 1.7825,                 1.3191,               0.005545,               0.005545,               0.005545
                     47,                 0.9609,                 1.4138,                 1.2587,                0.44603,                0.37611,                0.35914,                0.26826,                  1.064,                 1.8567,                  1.346,               0.005446,               0.005446,               0.005446
                     48,                 0.9648,                 1.4105,                 1.2534,                0.51865,                 0.3667,                0.38153,                0.28746,                 1.0409,                  1.833,                 1.3236,               0.005347,               0.005347,               0.005347
                     49,                0.93892,                 1.3881,                 1.2412,                 0.5044,                0.36639,                0.37469,                0.28794,                 1.0493,                 1.8138,                 1.3347,               0.005248,               0.005248,               0.005248
                     50,                0.94873,                 1.3795,                 1.2496,                0.55497,                0.36874,                0.39174,                0.30161,                  1.036,                 1.8036,                 1.3324,               0.005149,               0.005149,               0.005149
                     51,                0.94916,                 1.3688,                 1.2424,                0.49137,                0.37893,                0.37538,                0.29126,                 1.0369,                 1.8201,                 1.3253,                0.00505,                0.00505,                0.00505
                     52,                0.94022,                 1.3506,                 1.2313,                0.54987,                0.37238,                0.38433,                0.29697,                 1.0304,                 1.8013,                 1.3203,               0.004951,               0.004951,               0.004951
                     53,                0.94385,                 1.3446,                 1.2366,                0.53512,                0.38269,                0.39712,                0.30153,                 1.0397,                  1.788,                 1.3253,               0.004852,               0.004852,               0.004852
                     54,                0.93385,                 1.3308,                  1.233,                0.52731,                0.39569,                0.40071,                0.30793,                 1.0236,                 1.7802,                 1.3204,               0.004753,               0.004753,               0.004753
                     55,                0.92813,                 1.3309,                 1.2316,                0.51501,                0.36696,                0.38706,                0.29595,                 1.0345,                 1.8125,                 1.3215,               0.004654,               0.004654,               0.004654
                     56,                0.91897,                 1.3216,                  1.224,                0.54762,                0.34926,                0.37761,                 0.2882,                 1.0274,                 1.8036,                 1.3237,               0.004555,               0.004555,               0.004555
                     57,                0.91617,                 1.3111,                 1.2236,                0.53823,                 0.3609,                0.39018,                 0.3038,                 1.0211,                  1.789,                 1.3161,               0.004456,               0.004456,               0.004456
                     58,                0.92657,                 1.3046,                 1.2286,                0.51514,                 0.3687,                  0.398,                0.30179,                 1.0266,                 1.7704,                 1.3191,               0.004357,               0.004357,               0.004357
                     59,                0.91769,                 1.2946,                 1.2257,                0.57651,                0.36381,                 0.3986,                0.30519,                 1.0331,                 1.7695,                 1.3307,               0.004258,               0.004258,               0.004258
