                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.58023,                0.66239,                 1.1267,                0.65975,                0.43549,                0.49382,                0.40876,                0.81049,                 1.6584,                 1.3812,              0.0069443,              0.0069443,              0.0069443
                     77,                0.57784,                0.66319,                 1.1279,                0.61683,                0.45716,                0.49208,                0.40977,                    0.8,                 1.6658,                 1.3751,              0.0068722,              0.0068722,              0.0068722
                     78,                0.58367,                 0.6628,                 1.1322,                0.62231,                 0.4598,                0.49618,                 0.4106,                0.80983,                 1.6504,                 1.3867,              0.0067997,              0.0067997,              0.0067997
                     79,                0.58036,                0.65987,                 1.1306,                0.59319,                0.48118,                 0.5028,                0.41596,                0.81149,                 1.6694,                 1.3864,              0.0067268,              0.0067268,              0.0067268
                     80,                0.56758,                0.62509,                 1.1137,                0.62549,                0.47822,                0.50193,                0.41604,                0.80815,                 1.6558,                 1.3818,              0.0066534,              0.0066534,              0.0066534
                     81,                 0.5652,                0.63302,                 1.1194,                0.67162,                0.46411,                0.51822,                 0.4297,                0.80332,                 1.6484,                 1.3867,              0.0065796,              0.0065796,              0.0065796
                     82,                0.56256,                0.62592,                 1.1135,                0.60945,                0.49797,                0.51511,                0.42777,                0.80873,                 1.6667,                 1.3871,              0.0065055,              0.0065055,              0.0065055
                     83,                0.56676,                0.62564,                 1.1177,                0.63082,                 0.4914,                0.51412,                0.42851,                0.79649,                 1.6712,                 1.3704,               0.006431,               0.006431,               0.006431
                     84,                0.56367,                 0.6226,                 1.1105,                0.68696,                0.44708,                0.50592,                0.41758,                0.81249,                 1.6641,                  1.394,              0.0063562,              0.0063562,              0.0063562
                     85,                 0.5579,                0.60674,                 1.1045,                 0.6361,                0.49116,                0.51422,                 0.4283,                0.80272,                 1.6835,                 1.3807,               0.006281,               0.006281,               0.006281
                     86,                0.54813,                0.60666,                 1.1025,                0.64052,                 0.4879,                0.51698,                0.43065,                0.79648,                 1.6878,                 1.3766,              0.0062056,              0.0062056,              0.0062056
                     87,                0.54408,                0.59183,                 1.1005,                0.69648,                0.46628,                0.51505,                0.43059,                 0.7972,                 1.6831,                 1.3814,              0.0061298,              0.0061298,              0.0061298
                     88,                0.55235,                0.60038,                  1.107,                0.60527,                0.49549,                0.51534,                0.42985,                0.80083,                 1.6828,                 1.3846,              0.0060538,              0.0060538,              0.0060538
                     89,                0.54595,                0.59015,                 1.0982,                0.67207,                0.46651,                0.51745,                0.43294,                0.79347,                 1.6743,                 1.3787,              0.0059775,              0.0059775,              0.0059775
                     90,                0.54186,                0.58503,                 1.0973,                0.67081,                 0.4706,                 0.5126,                0.42815,                0.80017,                 1.6618,                 1.3797,               0.005901,               0.005901,               0.005901
                     91,                0.54417,                0.57146,                  1.095,                0.62357,                0.48574,                0.51549,                0.42977,                0.80536,                 1.6498,                 1.3838,              0.0058244,              0.0058244,              0.0058244
                     92,                 0.5375,                 0.5678,                 1.0905,                  0.606,                0.49853,                0.51973,                0.43376,                 0.7948,                 1.6551,                 1.3711,              0.0057475,              0.0057475,              0.0057475
                     93,                0.52981,                0.55198,                 1.0795,                0.65593,                0.47655,                0.51788,                 0.4355,                0.79225,                 1.6722,                 1.3725,              0.0056704,              0.0056704,              0.0056704
                     94,                0.53149,                0.55617,                  1.086,                0.65694,                0.47022,                0.52195,                0.43844,                 0.7935,                 1.6623,                 1.3728,              0.0055932,              0.0055932,              0.0055932
                     95,                0.52017,                0.54811,                 1.0845,                0.69033,                0.46889,                0.52833,                0.44451,                0.78479,                   1.62,                 1.3776,              0.0055158,              0.0055158,              0.0055158
                     96,                0.52425,                0.55579,                 1.0867,                0.65802,                0.47764,                0.52636,                  0.442,                0.78605,                 1.6627,                  1.368,              0.0054384,              0.0054384,              0.0054384
                     97,                0.51612,                0.54661,                 1.0753,                0.68249,                0.47561,                0.52093,                0.43575,                0.79574,                 1.6735,                 1.3756,              0.0053608,              0.0053608,              0.0053608
                     98,                0.51794,                0.53981,                 1.0755,                0.65061,                0.48186,                0.51706,                0.43058,                0.79908,                 1.6934,                 1.3864,              0.0052832,              0.0052832,              0.0052832
                     99,                0.51336,                0.53143,                 1.0717,                 0.6458,                 0.4826,                0.52186,                0.43837,                0.79761,                 1.7021,                 1.3885,              0.0052055,              0.0052055,              0.0052055
                    100,                0.51492,                0.53712,                 1.0789,                0.64815,                0.48603,                 0.5193,                0.43467,                0.79847,                 1.6961,                 1.3873,              0.0051278,              0.0051278,              0.0051278
                    101,                0.50831,                 0.5246,                 1.0677,                0.65172,                0.48125,                0.51877,                0.43379,                0.79538,                 1.7026,                 1.3902,                0.00505,                0.00505,                0.00505
                    102,                0.51067,                0.52544,                 1.0737,                0.63165,                0.47766,                0.51339,                0.43175,                0.78727,                 1.7004,                 1.3784,              0.0049722,              0.0049722,              0.0049722
                    103,                0.51287,                 0.5182,                 1.0677,                0.65156,                0.48618,                0.51181,                0.42894,                0.80376,                  1.703,                 1.3947,              0.0048945,              0.0048945,              0.0048945
                    104,                0.50747,                0.51814,                 1.0668,                0.68092,                0.46374,                0.51801,                0.43343,                0.80061,                 1.6862,                 1.3987,              0.0048168,              0.0048168,              0.0048168
                    105,                0.50522,                0.51182,                 1.0688,                0.68343,                0.46178,                0.51144,                0.42689,                0.80349,                 1.7009,                 1.4018,              0.0047392,              0.0047392,              0.0047392
                    106,                0.49632,                0.50218,                 1.0645,                0.65845,                0.47957,                0.52092,                0.43605,                0.81406,                 1.7163,                 1.4084,              0.0046616,              0.0046616,              0.0046616
                    107,                0.49171,                0.49835,                 1.0592,                0.62451,                0.49484,                0.52081,                0.43672,                0.79931,                 1.7012,                 1.4017,              0.0045842,              0.0045842,              0.0045842
                    108,                0.49058,                0.48954,                 1.0515,                0.65329,                0.47819,                0.52161,                 0.4373,                0.79058,                 1.7069,                 1.3879,              0.0045068,              0.0045068,              0.0045068
                    109,                0.48324,                0.48578,                 1.0497,                0.64355,                0.48807,                0.52424,                0.44201,                0.79621,                 1.6828,                 1.3888,              0.0044296,              0.0044296,              0.0044296
                    110,                0.49165,                0.49107,                  1.057,                0.70034,                0.46598,                0.52747,                0.44303,                0.79339,                 1.6835,                 1.3912,              0.0043525,              0.0043525,              0.0043525
                    111,                0.48998,                0.48555,                 1.0568,                0.68408,                0.47359,                0.52556,                0.44143,                 0.8022,                 1.6819,                 1.3992,              0.0042756,              0.0042756,              0.0042756
                    112,                0.47739,                0.47275,                  1.049,                0.67072,                0.47503,                0.52199,                0.43687,                0.81046,                 1.6897,                 1.4094,               0.004199,               0.004199,               0.004199
                    113,                0.48668,                0.48091,                 1.0516,                0.68763,                0.48331,                 0.5266,                0.44309,                0.80536,                 1.6763,                 1.4016,              0.0041225,              0.0041225,              0.0041225
                    114,                0.48032,                0.46755,                 1.0428,                 0.7082,                0.47048,                0.52803,                0.44452,                0.80813,                  1.686,                 1.4055,              0.0040462,              0.0040462,              0.0040462
                    115,                0.47864,                0.46663,                 1.0523,                0.66567,                0.48761,                0.52905,                0.44666,                0.79825,                 1.6799,                 1.4013,              0.0039702,              0.0039702,              0.0039702
                    116,                0.48023,                0.46194,                   1.05,                0.65046,                0.49941,                0.52722,                0.44614,                0.80133,                 1.6897,                 1.4103,              0.0038944,              0.0038944,              0.0038944
                    117,                0.47341,                0.46836,                 1.0488,                 0.7033,                0.48484,                0.52629,                0.44475,                0.79567,                  1.705,                  1.406,               0.003819,               0.003819,               0.003819
                    118,                0.46833,                0.45252,                 1.0394,                0.68578,                0.49152,                0.53201,                0.45058,                  0.795,                 1.6887,                 1.4019,              0.0037438,              0.0037438,              0.0037438
                    119,                0.46329,                 0.4567,                 1.0411,                 0.6793,                0.49923,                0.53178,                0.44852,                0.79273,                 1.6964,                 1.3994,               0.003669,               0.003669,               0.003669
                    120,                0.46697,                0.46252,                 1.0445,                0.69901,                0.47776,                0.52625,                0.44447,                0.80047,                 1.7119,                 1.4008,              0.0035945,              0.0035945,              0.0035945
                    121,                0.46318,                0.45611,                 1.0407,                0.67801,                0.47803,                0.52446,                0.44454,                0.80212,                  1.707,                 1.4051,              0.0035204,              0.0035204,              0.0035204
                    122,                0.45661,                0.43956,                 1.0315,                0.66056,                0.48601,                0.52292,                 0.4438,                0.79553,                 1.7149,                 1.3983,              0.0034466,              0.0034466,              0.0034466
                    123,                0.45865,                0.44202,                 1.0353,                0.65418,                0.48648,                0.52098,                0.44258,                0.79889,                 1.7346,                  1.404,              0.0033732,              0.0033732,              0.0033732
                    124,                0.45258,                0.43486,                  1.032,                0.67327,                0.46792,                0.51877,                0.44165,                0.80021,                 1.7328,                 1.4052,              0.0033003,              0.0033003,              0.0033003
